"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
447569,"Lead Data Analyst","Anywhere","Full-time","130000.0","2023-05-03","Kforce Technology Staffing"
1531276,"System Data Analyst","Anywhere","Full-time","130000.0","2023-04-11","Alpha Silicon"
92703,"Sr. Data Analyst","Anywhere","Full-time","130000.0","2023-09-19","Launch Consulting Group"
21451,"Data Analyst must have telecom domain experince","Anywhere","Contractor","130000.0","2023-04-28","ApTask"
1566076,"Manager, Data Analytics (Bioscience) - Remote","Anywhere","Full-time","129000.0","2023-09-19","Lonza"
1148444,"Data Analyst","Anywhere","Full-time","127000.0","2023-06-22","Acorns"
1791785,"Marketing Data Analyst (Remote)","Anywhere","Full-time","127000.0","2023-03-09","Cash App"
592669,"Behavioral Health Data Analyst- REMOTE","Anywhere","Full-time","126452.0","2023-07-25","ICF"
502626,"Sr Data Analyst, Consultant - Client Facing - Remote","Anywhere","Full-time","126000.0","2023-02-25","UnitedHealth Group"
116211,"Sr Data Analyst - Remote","Anywhere","Full-time","126000.0","2023-08-31","UnitedHealthcare"
1735665,"Mid-Level Decision Science Analyst","Anywhere","Full-time","125930.0","2023-10-01","USAA"
748965,"Strategy and Data Analyst, Sustainability","Anywhere","Full-time","125500.0","2023-12-14","Uber"
300502,"Healthcare Data Analyst","Anywhere","Full-time","125000.0","2023-08-18","Get It Recruit - Real Estate"
595967,"Data Science Analyst 2 (Pop Health)","Anywhere","Full-time","125000.0","2023-01-11","Starbridge Partners"
900945,"Data Analyst","Anywhere","Full-time","125000.0","2023-12-27","The Walt Disney Company"
285447,"Data Analyst","Anywhere","Full-time","125000.0","2023-05-26","Robert Half"
400967,"Healthcare Data Analyst (Manager)- $120,000-130,000/yr | Remote in PST","Anywhere","Full-time","125000.0","2023-08-21","PWR Staffing & Recruiting"
1229773,"Manager, Data Analytics & Reporting - Remote","Anywhere","Full-time","125000.0","2023-03-14","Infinity Consulting Solutions, Inc."
1551308,"Investment Data and Analytics Manager","Anywhere","Full-time","125000.0","2023-12-12","Get It Recruit - Information Technology"
1216840,"Data Analyst, Operations (Remote)","Anywhere","Full-time","125000.0","2023-02-01","hims & hers"
